city,Income Poverty Rate (%),Percent of Households Who Are Unbanked  (%),Percent of Households Who Are Underbanked  (%)
"Mountain Park, GA",8.7,5,21
"Myrtle Grove, FL",15.1,5,15
"Naples, FL",6.4,4,13
"Naranja, FL",29.1,10,25
"New Port Richey East, FL",14.1,3,11
"New Port Richey, FL",15.2,5,13
"Niceville, FL",9.1,3,13
"Nocatee, FL",4.2,2,9
"Norcross, GA",15,5,19
"North Decatur, GA",8.9,6,18
"North Druid Hills, GA",13.6,6,17
"North Palm Beach, FL",5.2,4,13
"Northdale, FL",4.6,4,15
"Oak Ridge, FL",26.6,7,20
"Ojus, FL",11.2,6,21
"Oldsmar, FL",10.3,3,10
"Olympia Heights, FL",14.8,4,19
"Opa-locka, FL",35.4,12,27
"Orange City, FL",13.2,3,12
"Pace, FL",11,2,11
"Palatka, FL",33.2,6,13
"Palm City, FL",5.8,3,9
"Palm River-Clair Mel, FL",18.6,4,16
"Palm Springs, FL",12.8,6,20
"Palm Valley, FL",3.2,2,9
"Palmetto Bay, FL",5.7,5,20
"Palmetto Estates, FL",8.7,5,20
"Palmetto, FL",18.6,3,11
"Panama City Beach, FL",8.6,4,13
"Panthersville, GA",20.7,7,22
"Pasadena Hills, FL",7.8,3,12
"Pebble Creek, FL",9,6,18
"Perry, GA",13.9,5,15
"Pine Castle, FL",32.3,7,20
"Pine Ridge, FL",7,4,11
"Pinecrest, FL",7.7,3,15
"Pinewood, FL",20.4,12,27
"Pooler, GA",3.7,3,14
"Port Salerno, FL",11.5,3,9
"Port St. John, FL",11.9,3,11
"Powder Springs, GA",8.6,3,15
"Progress Village, FL",17.7,4,16
"Punta Gorda, FL",9.3,3,9
"Richmond Heights, FL",9.2,6,22
"Richmond Hill, GA",10.5,5,18
"Rincon, GA",12.5,6,15
"Riverdale, GA",13.2,9,25
"Safety Harbor, FL",5.7,3,10
"San Carlos Park, FL",9.8,2,9
"Sarasota Springs, FL",11,2,10
"Satellite Beach, FL",3.6,2,9
"Scottdale, GA",10.2,6,17
"Sebring, FL",26.7,6,14
"Seminole, FL",10.8,2,9
"Shady Hills, FL",16.2,3,10
"Snellville, GA",8,3,18
"South Daytona, FL",17.8,3,10
"South Miami, FL",14.7,4,19
"South Venice, FL",6.5,2,9
"Southchase, FL",14.3,3,17
"St. Augustine, FL",13.8,2,9
"St. Marys, GA",18.4,6,14
"St. Simons, GA",4.3,6,14
"Stuart, FL",14.4,3,9
"Sugar Hill, GA",8.2,3,13
"Sun City Center, FL",8.4,3,13
"Sunny Isles Beach, FL",14.8,4,17
"Sunset, FL",11.1,4,19
"Suwanee, GA",9.5,3,14
"Sweetwater, FL",17,6,24
"Tavares, FL",9.9,3,12
"The Crossings, FL",11.1,4,20
"Thomasville, GA",19.3,8,17
"Thonotosassa, FL",18.6,5,16
"Three Lakes, FL",15.3,5,21
"Tifton, GA",25.9,9,17
"Trinity, FL",10.3,2,11
"Union City, GA",8.6,6,22
"Union Park, FL",15.1,4,17
US,12.8,5,14
"Upper Grand Lagoon, FL",8.6,4,13
"Venice, FL",6.6,2,9
"Vero Beach South, FL",10.3,3,10
"Vero Beach, FL",12.8,3,10
"Vidalia, GA",22.8,9,16
"Viera East, FL",2.6,3,11
"Viera West, FL",3.5,3,11
"Villa Rica, GA",7.1,5,16
"Villas, FL",7,3,9
"Vinings, GA",3.3,4,17
"Warrington, FL",20.6,5,15
"Waycross, GA",34.3,9,16
"Wekiwa Springs, FL",5,2,13
"West Lealman, FL",14.1,4,13
"West Melbourne, FL",4.4,3,11
"West Park, FL",18.1,6,23
"West Pensacola, FL",24,5,15
"Westchase, FL",6.5,3,15
"Westview, FL",24.8,12,27
"Westwood Lakes, FL",9.2,4,19
"Wilmington Island, GA",3.2,3,13
"Wilton Manors, FL",6.2,6,19
"Winder, GA",13.8,4,13
"World Golf Village, FL",4.1,2,9
"Wright, FL",18.1,3,13
"Yulee, FL",15.2,3,10
"Zephyrhills, FL",16.2,3,12
"Addison, IL",11.6,3,14
"Alexandria, LA",27.1,7,16
"Algonquin, IL",4.8,3,11
"Alton, IL",24.4,5,12
"Ames, IA",26.4,3,12
"Anderson, IN",22.1,5,12
"Ankeny, IA",4.2,2,10
"Bartlett, IL",3.6,3,14
"Batavia, IL",4.8,2,9
"Belleville, IL",14.7,4,12
"Belvidere, IL",14.4,3,11
"Berwyn, IL",11.6,6,18
"Bettendorf, IA",7.2,3,11
"Bolingbrook, IL",7.9,2,12
"Bossier City, LA",20.1,6,15
"Bowling Green, KY",25.5,5,14
"Brownsburg, IN",6.1,2,10
"Buffalo Grove, IL",5.2,2,10
"Burbank, IL",11.1,3,13
"Calumet City, IL",21.5,8,21
"Carbondale, IL",40.5,6,13
"Carol Stream, IL",7.3,3,12
"Carpentersville, IL",11,5,16
"Cedar Falls, IA",17.1,4,12
"Central, LA",5.9,7,18
"Chicago Heights, IL",22.8,5,18
"Clinton, IA",17.8,4,12
"Columbus, IN",11.7,4,12
"Council Bluffs, IA",12.7,3,11
"Covington, KY",23.9,4,11
"Crown Point, IN",5.8,2,10
"Crystal Lake, IL",5.8,2,10
"Danville, IL",28.5,5,12
"DeKalb, IL",26.8,3,13
"Decatur, IL",19.7,5,12
"Des Plaines, IL",8,3,12
"Dodge City, KS",14,8,18
"Downers Grove, IL",5.2,2,10
"Dubuque, IA",12.3,3,10
"East Chicago, IN",27.8,8,19
"East St. Louis, IL",29.3,9,17
"Edwardsville, IL",14.3,2,10
"Elizabethtown, KY",12,4,13
"Elk Grove Village, IL",5.5,3,13
"Elkhart, IN",19.6,5,13
"Elmhurst, IL",4.1,2,11
"Evanston, IL",11.9,3,12
"Florence, KY",7.7,2,11
"Frankfort, KY",16.3,4,13
"Franklin, IN",11.7,2,11
"Galesburg, IL",19.8,4,11
"Garden City, KS",13.7,8,18
"Georgetown, KY",12.3,4,12
"Glen Ellyn, IL",5.1,2,10
"Glendale Heights, IL",9.6,3,13
"Glenview, IL",5.3,1,8
"Goshen, IN",15.4,5,13
"Granger, IN",3.8,3,11
"Granite City, IL",18,5,12
"Greenwood, IN",7.6,2,11
"Gurnee, IL",4.7,2,12
"Hanover Park, IL",13.9,3,14
"Henderson, KY",20,6,13
"Highland Park, IL",3.2,1,9
"Hobart, IN",13.7,5,15
"Hoffman Estates, IL",5.2,2,13
"Hopkinsville, KY",20.4,6,15
"Houma, LA",19.5,5,14
"Huntley, IL",5.9,2,10
"Hutchinson, KS",13.1,4,12
Illinois,12.1,4,10
"Independence, KY",7.7,4,11
Indiana,12.2,6,12
Iowa,11.1,3,10
"Iowa City, IA",26.8,3,13
"Jeffersontown, KY",6.5,2,11
"Jeffersonville, IN",11.5,4,12
"Kankakee, IL",28.2,5,13
Kansas,11.7,4,16
"Kenner, LA",15.6,5,15
Kentucky,16.5,5,16
"Kokomo, IN",14.5,4,12
"Lafayette, IN",16.8,4,13
"Lake in the Hills, IL",3.1,2,10
"Lansing, IL",15.4,7,20
"Laplace, LA",12.4,5,15
"Lawrence, IN",10.7,8,16
"Leavenworth, KS",13.1,3,12
"Leawood, KS",2,1,10
"Lenexa, KS",5.1,2,10
"Lockport, IL",7.1,2,10
"Lombard, IL",6.6,2,10
Louisiana,19.6,8,20
"Manhattan, KS",25.9,5,15
"Marion, IN",28.5,5,13
"Marion, IA",7.1,3,11
"Marrero, LA",22.1,7,17
"Marshalltown, IA",14.6,3,12
"Mason City, IA",10.9,3,11
"McHenry, IL",8,2,10
"Melrose Park, IL",12.8,4,16
"Merrillville, IN",13.1,2,11
"Michigan City, IN",21.2,4,12
"Mishawaka, IN",17.5,3,11
"Moline, IL",15.1,4,12
"Monroe, LA",34.9,8,16
"Mount Prospect, IL",4.7,3,13
"Muncie, IN",30.4,5,13
"Mundelein, IL",7.3,2,10
"New Albany, IN",17.4,4,11
"New Iberia, LA",27.8,8,16
"New Lenox, IL",2.5,2,10
"Nicholasville, KY",14.9,5,12
"Niles, IL",7.9,3,12
"Noblesville, IN",5.2,1,9
"Normal, IL",25.6,2,9
"North Chicago, IL",21.4,4,14
"Northbrook, IL",3.5,1,8
"O'Fallon, IL",4.8,5,13
"Oak Forest, IL",4.9,4,15
"Oak Lawn, IL",10.2,4,15
"Oak Park, IL",6.7,6,18
"Orland Park, IL",5,2,10
"Oswego, IL",2.2,2,11
"Owensboro, KY",20.2,4,12
"Palatine, IL",11.1,2,12
"Park Ridge, IL",4,3,12
"Pekin, IL",15,3,10
"Plainfield, IN",7.4,2,10
"Plainfield, IL",2.3,2,12
"Portage, IN",13.8,3,11
"Prairieville, LA",3.7,4,13
"Quincy, IL",14.4,4,12
"Richmond, IN",22.7,5,14
"Richmond, KY",24.3,5,14
"Rock Island, IL",21.7,4,12
"Romeoville, IL",6.6,2,12
"Round Lake Beach, IL",7.7,2,12
"Salina, KS",12.1,4,12
"Schaumburg, IL",6,2,13
"Schererville, IN",6.3,2,11
"Shawnee, KS",5.9,2,10
"Skokie, IL",9.1,3,12
"Slidell, LA",14.1,4,12
"St. Charles, IL",3.5,2,9
"Streamwood, IL",7.8,3,15
"Terre Haute, IN",25.9,3,11
"Tinley Park, IL",5.4,2,11
US,12.8,5,14
"Urbana, IL",27.1,4,14
"Urbandale, IA",5.9,2,10
"Valparaiso, IN",15.4,3,11
"Vernon Hills, IL",5.6,2,10
"Waterloo, IA",16.4,4,12
"West Chicago, IL",11.3,3,13
"West Des Moines, IA",6.6,2,10
"West Lafayette, IN",37.5,4,13
"Westfield, IN",4.6,2,10
"Wheaton, IL",5.3,2,10
"Wheeling, IL",9,2,12
"Wilmette, IL",2.7,1,8
"Woodridge, IL",4.5,2,11
"Woodstock, IL",8.8,3,11
"Zionsville, IN",4.3,2,10
"Alsip, IL",8.2,4,15
"Ammon, ID",5.5,3,12
"Antioch, IL",8.8,2,12
"Auburn, IN",9.7,4,13
