city,Income Poverty Rate (%),Percent of Households Who Are Unbanked  (%),Percent of Households Who Are Underbanked  (%)
"Ringwood, NJ",1.9,1,9
"Short Hills, NJ",3,2,12
"Kiryas Joel, NY",40.5,2,12
"Wanaque, NJ",5.6,1,9
"Hasbrouck Heights, NJ",8,2,14
"Hamilton Square, NJ",2.6,3,13
"Oakland, NJ",1.8,1,8
"Mastic Beach, NY",18.8,3,12
"Mastic, NY",11.6,3,12
"Stony Point, NY",4.2,3,12
"Chaparral, NM",29.2,8,17
"East Islip, NY",2.1,2,10
"Ventnor City, NJ",11.5,7,15
"Somers Point, NJ",11.7,3,10
"Westwood, NJ",4.8,1,8
"Bellmawr, NJ",10.8,4,13
"Babylon, NY",2.8,2,11
"Suffern, NY",6.3,5,19
"Oneonta, NY",18.4,3,11
"North Bay Shore, NY",12.9,5,19
"Roosevelt, NY",8.1,7,22
"Londonderry, NH",3.4,2,9
"Pine Hill, NJ",12.9,4,13
"Stony Brook, NY",5.4,1,8
"Tarrytown, NY",5.8,2,13
"Somerville, NJ",4.4,3,14
"Pennsville, NJ",11.5,7,15
"Oneida, NY",12.4,3,11
"Nesconset, NY",4.1,1,7
"Guttenberg, NJ",14.8,5,21
"New Providence, NJ",1,1,9
"Gardnerville Ranchos, NV",5.8,3,13
"Geneva, NY",18.6,3,10
"Woodland Park, NJ",11.6,2,13
"Spring Creek, NV",8.4,5,14
"Greenlawn, NY",5.8,2,9
"Massena, NY",21.2,4,13
"Mercerville, NJ",2.5,3,13
"Rocky Point, NY",4,1,8
"Wallington, NJ",9.2,2,14
"Farmingville, NY",2.9,2,11
"Tenafly, NJ",4.1,1,9
"Jericho, NY",6.4,2,10
"Lancaster, NY",7.6,2,8
"Ridgefield Park, NJ",10.3,3,15
"St. James, NY",1.9,1,7
"North New Hyde Park, NY",1.8,2,13
"Fulton, NY",23.6,3,10
"Artesia, NM",18.7,8,16
"Manorville, NY",10.1,3,12
"Bradley Gardens, NJ",2.4,3,14
"Middlesex, NJ",7.7,2,14
"Watervliet, NY",19.8,2,11
"North Amityville, NY",8.2,4,15
"Canandaigua, NY",8,3,10
"Roselle Park, NJ",6.4,3,17
"North Valley, NM",18.2,5,15
"Hammonton, NJ",10.7,4,13
"Westbury, NY",5.3,2,13
"Corning, NY",16,4,12
"West Freehold, NJ",3.4,2,10
"South Farmingdale, NY",4.4,1,8
"Echelon, NJ",12.6,2,10
"Woodmere, NY",2.8,3,12
"Moorestown-Lenola, NJ",5,2,10
"Seaford, NY",1.8,1,7
"Springdale, NJ",4.3,2,10
"Somersworth, NH",10.9,2,10
"Endwell, NY",12,5,13
"Riverhead, NY",12.7,2,10
"Avenel, NJ",11.6,3,15
"Claremont, NH",16.7,3,12
"Fairview, NJ",14.9,3,15
"Jefferson Valley-Yorktown, NY",4.9,1,9
"Fords, NJ",4.2,2,15
"Ocean City, NJ",8.8,3,10
"Red Bank, NJ",13.4,2,9
"Beacon, NY",9.2,4,13
"Eatontown, NJ",8.2,4,15
"Dunkirk, NY",26.7,5,13
"Metuchen, NJ",3.4,2,15
"Cherry Hill Mall, NJ",8.2,2,10
"Bellmore, NY",3.1,1,7
"Deming, NM",27.9,8,14
"Las Vegas, NM",30.3,9,13
"Sayville, NY",5.7,2,10
"Rye, NY",4.4,2,13
"Patchogue, NY",7.7,2,12
"Sunland Park, NM",29.1,8,18
"Ramsey, NJ",1.4,1,8
"Ridge, NY",7.4,2,9
"Dover, NJ",12.4,2,11
"Los Alamos, NM",4.7,9,13
"Hopatcong, NJ",4.4,2,9
"Scarsdale, NY",2.4,2,13
"Madison, NJ",3.3,2,10
"Williamstown, NJ",6.1,2,10
"Franklin Park, NJ",7.7,2,13
"Endicott, NY",26.7,5,13
"Pearl River, NY",5.4,2,11
"North Valley Stream, NY",4.5,2,13
"Princeton Meadows, NJ",3.6,2,14
"North Babylon, NY",4.3,2,11
"Floral Park, NY",2.5,2,12
"Port Washington, NY",5.4,2,10
"Los Lunas, NM",10.3,4,13
"Highland Park, NJ",8.5,5,17
"Phillipsburg, NJ",16.6,2,10
"Massapequa Park, NY",4.1,1,8
"Edgewater, NJ",6.5,3,15
"Hampton Bays, NY",7.7,2,10
"South River, NJ",12.4,5,17
"West Hempstead, NY",4.2,2,13
"Wantagh, NY",3.8,1,7
"New Milford, NJ",4.9,2,12
"Spanish Springs, NV",5.6,3,14
"Islip, NY",4.4,2,10
"Ronkonkoma, NY",3.5,2,10
"Bethpage, NY",3.9,1,9
"Ocean Acres, NJ",2.4,2,8
"Colonia, NJ",5.7,3,15
"Glassboro, NJ",20.1,2,10
"Collingswood, NJ",11.8,4,13
"Lebanon, NH",7.8,3,12
"North Massapequa, NY",4.3,1,8
"Syosset, NY",4,2,10
"Batavia, NY",16,4,12
"Johnson City, NY",19.6,5,13
"Olean, NY",23.5,5,13
"Kings Park, NY",2.9,1,7
"Gloversville, NY",22.5,5,13
"Selden, NY",6,2,10
"Bridgeton, NJ",35.1,7,15
"Dumont, NJ",5.5,2,12
"Greece, NY",7.1,3,11
"Nanuet, NY",6.6,2,11
"North Arlington, NJ",10.2,2,14
"Glens Falls, NY",11.6,3,10
"Eggertsville, NY",9,2,10
"Harrison, NJ",17.2,4,19
"Holtsville, NY",5.5,2,11
"North Bellmore, NY",3.4,1,7
"Iselin, NJ",4.8,3,15
"Sun Valley, NV",17.8,4,14
"Boulder City, NV",11.4,3,13
"Cortland, NY",21.9,3,11
"Depew, NY",8.8,2,10
"Lake Ronkonkoma, NY",8.3,2,10
"Elmwood Park, NJ",9.8,4,16
"Melville, NY",4.8,1,8
"Pleasantville, NJ",24.5,4,13
"East Massapequa, NY",3.7,1,8
"Hauppauge, NY",5.4,2,9
"Laconia, NH",10.3,3,11
"East Northport, NY",5,2,8
"Rutherford, NJ",4.2,2,14
"Tonawanda, NY",10.9,2,10
"Mamaroneck, NY",5,2,13
"Asbury Park, NJ",20.5,4,15
"Merrick, NY",1.9,1,7
"Woodbridge, NJ",3.7,3,15
"Copiague, NY",10.7,4,15
"Kenmore, NY",8.3,2,10
"Hawthorne, NJ",4.3,2,13
"Huntington, NY",6.5,2,9
"Lynbrook, NY",4.5,2,13
"Elko, NV",12.3,5,14
"Massapequa, NY",3.4,1,8
"Gallup, NM",28.2,9,20
"North Plainfield, NJ",12,3,14
"Rotterdam, NY",5.7,4,12
"Point Pleasant, NJ",3.3,2,9
"Holiday City-Berkeley, NJ",8.7,3,10
"Amsterdam, NY",23.8,5,13
"Cohoes, NY",16.1,2,11
"Roselle, NJ",8.2,4,17
"Palisades Park, NJ",11.9,3,15
"Fernley, NV",7.9,3,13
"Garden City, NY",2.5,2,12
"Oswego, NY",25.2,3,10
"Secaucus, NJ",5.7,5,21
"Lackawanna, NY",22.1,3,12
"Lindenwold, NJ",16.5,4,13
"Mineola, NY",6.3,2,13
"Summit, NJ",6.3,1,9
"Eastchester, NY",3.8,5,17
"Plattsburgh, NY",19.2,4,13
"Baldwin, NY",4,2,11
"South Plainfield, NJ",3.3,2,14
"Carteret, NJ",8.6,3,15
"Old Bridge, NJ",4.9,2,10
"Mesquite, NV",8.2,8,20
"Tinton Falls, NJ",9.1,2,9
"Medford, NY",6.4,2,12
"East Patchogue, NY",8.3,2,12
"Morristown, NJ",10.7,2,10
"Lodi, NJ",10.8,4,16
"Lockport, NY",12.4,3,10
"Derry, NH",8.3,2,9
"Somerset, NJ",6.1,2,13
"Kingston, NY",18.9,3,11
"Keene, NH",11.6,3,12
"Peekskill, NY",10.8,3,13
"Rockville Centre, NY",4.3,2,11
"Portsmouth, NH",6,2,8
"Ada, OK",18.7,5,16
"Albemarle, NC",23.9,4,13
"Alliance, OH",25.8,3,10
"Altamont, OR",20.4,6,15
"Altus, OK",16.8,6,15
"Amherst, OH",4.9,2,9
"Archdale, NC",7.3,5,13
"Ardmore, OK",18.9,6,15
"Ashland, OH",13.1,4,13
"Ashland, OR",16.2,3,10
"Ashtabula, OH",31.3,6,14
"Athens, OH",43.1,6,14
"Aurora, OH",1.6,3,11
"Avon Lake, OH",4.7,2,9
"Avon, OH",4.5,2,9
"Bay Village, OH",3.7,2,9
"Beachwood, OH",4.9,2,11
"Bedford Heights, OH",11.1,8,19
"Bedford, OH",11.2,8,19
"Bellefontaine, OH",12.2,4,12
"Belmont, NC",14.8,5,14
"Berea, OH",10.5,3,11
"Bethany, OK",16.7,5,15
"Bexley, OH",4.4,9,19
"Blue Ash, OH",4.8,5,13
"Boone, NC",55.3,5,12
"Brecksville, OH",5.8,2,9
"Bridgetown, OH",7.6,4,14
"Broadview Heights, OH",1.8,2,9
"Brook Park, OH",9.7,3,11
"Brooklyn, OH",12.2,3,12
"Bucyrus, OH",18.2,4,13
"Bull Mountain, OR",4.6,2,11
"Cambridge, OH",31.1,5,13
"Canby, OR",9.2,2,10
"Carrboro, NC",12.1,3,12
"Cedar Mill, OR",7,3,12
"Celina, OH",8.8,3,12
"Centerville, OH",6.8,2,10
"Central Point, OR",9.6,4,13
"Chickasha, OK",17,3,12
"Chillicothe, OH",20.2,5,14
"Choctaw, OK",5.7,5,14
"Circleville, OH",25.4,3,10
"Claremore, OK",11.3,2,12
"Clayton, OH",7.6,4,13
"Clayton, NC",7.8,4,14
"Clemmons, NC",5.4,3,11
"Conneaut, OH",21.7,6,14
"Coos Bay, OR",15.7,4,13
"Cornelius, OR",10.4,3,12
"Coshocton, OH",21,5,13
"Cottage Grove, OR",21.3,3,10
"Dallas, OR",14.5,3,13
"Damascus, OR",3.5,2,10
"Davidson, NC",6.5,2,13
"Defiance, OH",13.7,4,12
"Del City, OK",19.8,6,16
"Dent, OH",7.6,2,9
"Dickinson, ND",12.3,4,13
"Dover, OH",13.6,4,13
"Duncan, OK",17.3,5,14
"Durant, OK",21.1,5,16
"East Cleveland, OH",39,7,18
"East Liverpool, OH",29,5,13
"Eastlake, OH",6.7,3,11
"Eden, NC",19.8,5,13
"El Reno, OK",18.3,2,12
"Elizabeth City, NC",21.2,6,14
"Elk City, OK",24,6,15
"Elon, NC",24.5,6,15
"Englewood, OH",4.8,5,14
"Fairview Park, OH",9.6,3,11
"Finneytown, OH",7.4,5,15
"Forest Grove, OR",10.4,3,12
"Forest Park, OH",8.4,4,13
"Forestville, OH",4.5,2,9
"Fostoria, OH",24.6,4,12
"Four Corners, OR",14.4,4,14
"Franklin, OH",19,2,10
"Fremont, OH",17.3,4,12
"Galion, OH",20.2,4,13
"Gladstone, OR",16.2,2,11
"Glenpool, OK",8.6,4,13
"Graham, NC",23.7,6,15
"Greenville, OH",12.6,3,12
"Guthrie, OK",20.7,4,12
"Guymon, OK",27.2,5,14
"Happy Valley, OR",4,2,11
"Harrisburg, NC",2.8,4,14
"Harrison, OH",4.8,2,9
"Havelock, NC",13.1,6,15
"Hayesville, OR",19.3,5,16
"Heath, OH",9.9,3,10
"Henderson, NC",25.6,8,17
"Hendersonville, NC",15.1,3,11
"Hermiston, OR",13.3,6,15
"Hope Mills, NC",15.8,5,17
"Hudson, OH",3.2,1,9
"Ironton, OH",25.8,5,13
"Jamestown, ND",14.4,4,13
"Jenks, OK",7.4,4,13
"Kernersville, NC",11.5,3,11
"Kings Mountain, NC",20.7,5,13
"Kinston, NC",27.9,7,16
"Klamath Falls, OR",23,6,15
"Knightdale, NC",5.1,5,17
"La Grande, OR",19.6,6,15
"Laurinburg, NC",33.2,9,17
"Lebanon, OH",7.6,2,9
"Lebanon, OR",15.4,3,13
"Leland, NC",4.3,3,10
"Lenoir, NC",17.1,5,13
"Lewisville, NC",10.4,3,11
"Lexington, NC",24.9,6,14
"Lincoln Village, OH",10.4,3,13
"Lincolnton, NC",21.6,5,13
"London, OH",13.9,3,10
"Loveland, OH",7.7,2,9
"Lumberton, NC",31.1,12,20
"Lyndhurst, OH",3.2,2,11
"Macedonia, OH",4.6,1,9
"Mack, OH",2.3,2,9
"Mandan, ND",8.9,3,11
"Maple Heights, OH",22.9,8,19
"Marietta, OH",24.4,4,11
"Marysville, OH",6.9,3,10
"Maumee, OH",5.2,2,9
"Mayfield Heights, OH",8.8,2,11
"McAlester, OK",23.7,7,15
"Mebane, NC",10,5,14
"Miami, OK",24.1,5,14
"Miamisburg, OH",12.7,3,12
"Middleburg Heights, OH",4.1,3,11
"Milwaukie, OR",9.1,2,11
"Monfort Heights, OH",2.3,4,14
"Monmouth, OR",23.4,3,13
"Monroe, OH",3.4,2,10
"Montgomery, OH",1.5,2,9
"Morganton, NC",27,5,12
"Mount Airy, NC",29.3,6,14
"Mount Holly, NC",9.3,5,13
"Mount Vernon, OH",19.3,4,13
"Murraysville, NC",5.3,4,12
"Mustang, OK",5.2,2,12
"Myrtle Grove, NC",4.9,4,13
"New Albany, OH",1.9,2,12
"New Franklin, OH",4.3,3,10
"New Philadelphia, OH",17.1,4,13
"Newberg, OR",8.8,3,13
"Newport, OR",14.1,3,12
"Newton, NC",10.3,4,12
"Niles, OH",11,6,13
"North Canton, OH",8.3,6,14
North Carolina,13.4,3,14
North Dakota,11.1,3,10
"Northbrook, OH",16.7,4,15
"Norton, OH",8.3,3,10
"Norwalk, OH",13.3,4,13
"Norwood, OH",21.6,5,13
"Oak Grove, OR",11,2,11
"Oak Hills, OR",7.9,3,12
"Oatfield, OR",8.1,2,11
Ohio,13.4,4,13
Oklahoma,15.6,5,21
"Okmulgee, OK",23,6,15
"Ontario, OR",21.4,6,15
Oregon,12.2,2,11
"Oregon, OH",8.6,3,10
"Oxford, OH",44.8,4,12
"Painesville, OH",21.4,3,11
"Parma Heights, OH",14.8,3,12
"Pataskala, OH",6.7,3,10
"Pendleton, OR",15.5,6,15
"Perrysburg, OH",4.6,2,9
"Pickerington, OH",3.7,3,11
"Pinehurst, NC",4.2,4,13
"Piney Green, NC",14.1,4,16
"Piqua, OH",11.1,3,11
"Ponca City, OK",17.5,5,14
"Portsmouth, OH",34.7,5,13
"Powell, OH",1.6,1,9
"Prineville, OR",13.9,5,15
"Ravenna, OH",22.2,3,11
"Reading, OH",10.6,5,13
"Reidsville, NC",28.5,5,13
"Richmond Heights, OH",10,2,11
"Roanoke Rapids, NC",20.4,11,18
"Rocky River, OH",5.2,3,11
"Roseburg, OR",17.3,3,13
"Salem, OH",15.6,5,13
"Sand Springs, OK",9.7,4,13
"Sandusky, OH",22.6,4,12
"Sandy, OR",7.7,2,10
"Sapulpa, OK",13,4,13
"Seven Hills, OH",7,3,12
"Sharonville, OH",7.9,3,12
"Shelby, NC",19,6,14
"Sherwood, OR",4.3,2,12
"Sidney, OH",14,3,12
"Silverton, OR",9.7,3,13
"Smithfield, NC",30,4,14
"Solon, OH",3.4,2,11
"South Euclid, OH",13.3,7,18
"Southern Pines, NC",10.1,4,13
"Spring Lake, NC",22.1,5,17
"Springboro, OH",2.9,2,10
"Springdale, OH",11.4,5,13
"St. Helens, OR",14.3,3,12
"Stallings, NC",5.6,1,11
"Steubenville, OH",25.4,4,11
"Streetsboro, OH",9.7,3,11
"Struthers, OH",18.6,6,13
"Summerfield, NC",7.4,3,13
"Sylvania, OH",5.4,2,9
"Tahlequah, OK",20.1,7,17
"Tallmadge, OH",6.3,2,10
"Tarboro, NC",24.5,7,17
"The Dalles, OR",9.5,5,15
"Tiffin, OH",12.8,4,13
"Trenton, OH",4.4,4,12
"Trotwood, OH",25.5,5,14
"Troutdale, OR",7.9,4,15
"Twinsburg, OH",3.9,1,9
US,12.8,5,14
"University Heights, OH",12.5,7,18
"Urbana, OH",16.6,4,12
"Van Wert, OH",15.1,3,12
"Vandalia, OH",7.6,5,14
"Vermilion, OH",4.8,5,13
"Wadsworth, OH",8.1,2,9
"Warr Acres, OK",16.5,5,14
"Warrensville Heights, OH",20.9,8,19
"Washington Court House, OH",21.2,5,14
"Waxhaw, NC",3.6,2,11
"Weatherford, OK",23.8,6,15
"Weddington, NC",2.1,1,10
"West Carrollton, OH",14.6,3,12
"White Oak, OH",6.6,5,15
"Whitehall, OH",21.3,9,19
"Wickliffe, OH",7.7,3,11
"Willoughby, OH",6.7,3,11
"Willowick, OH",6.8,3,11
"Wilmington, OH",21.9,5,14
"Wilsonville, OR",9.5,2,10
"Woodward, OK",17.3,5,14
"Worthington, OH",2.3,4,13
"Allison Park, PA",3.6,2,9
"Ardmore, PA",5.6,1,9
"Arlington, TN",6.1,4,15
"Athens, TN",22.1,4,13
"Baldwin, PA",7.4,2,10
"Beaufort, SC",20.1,5,13
"Berea, SC",21.6,6,14
"Berwick, PA",19.2,4,11
"Bloomsburg, PA",28.1,4,11
"Bluffton, SC",5.6,5,13
"Brookings, SD",15.3,4,12
"Broomall, PA",3.9,1,8
"Butler, PA",23.8,2,9
"Carlisle, PA",15.5,3,10
"Carnot-Moon, PA",4,3,11
"Cayce, SC",17.2,4,13
"Central Falls, RI",24.9,6,15
"Chambersburg, PA",13.5,4,13
"Clemson, SC",36.4,5,13
"Coatesville, PA",26.8,2,11
"Collegedale, TN",10.8,2,10
"Colonial Park, PA",15.6,6,16
"Columbia, PA",16.3,2,10
"Conway, SC",17.8,5,12
"Crossville, TN",22.2,5,12
"Croydon, PA",15.4,3,11
"Darby, PA",27.7,5,17
"Dentsville, SC",22.3,5,16
"Dickson, TN",17.3,3,12
"Dunmore, PA",9.2,5,13
"Dyersburg, TN",23.7,7,15
"Easley, SC",11.8,5,13
"East Ridge, TN",15.5,8,18
"East Stroudsburg, PA",15.7,4,14
"Elizabethton, TN",21.6,5,12
"Elizabethtown, PA",9.9,2,10
"Emmaus, PA",6.8,2,10
"Ephrata, PA",9.7,3,11
"Farragut, TN",3.3,2,10
"Five Forks, SC",3.7,6,14
"Forest Acres, SC",11.2,5,16
"Fort Mill, SC",3.6,4,14
"Franklin Park, PA",2.9,2,8
"Fullerton, PA",10.7,2,10
"Gaffney, SC",24.2,8,15
"Gantt, SC",30.9,5,14
"Garden City, SC",11,4,12
"Goodlettsville, TN",10.2,5,15
"Greeneville, TN",14.9,5,12
"Greensburg, PA",15.9,3,9
"Greenwood, SC",25.1,9,15
"Hanahan, SC",12.2,6,17
"Hanover, PA",13.1,2,9
"Hartsville, TN",12.5,6,14
"Hazleton, PA",23.6,6,14
"Hermitage, PA",12,5,13
"Hershey, PA",8.7,2,10
"Horsham, PA",3.8,2,10
"Huron, SD",14.5,4,12
"Indiana, PA",28.2,3,11
"Irmo, SC",5.3,5,15
"James Island, SC",4,2,9
"Jefferson Hills, PA",3,2,9
"Johnstown, PA",33.7,4,10
"King of Prussia, PA",3.7,1,10
"Kingston, PA",16.2,3,10
"Ladson, SC",13.7,4,14
"Lake Wylie, SC",8.7,3,12
"Lakeland, TN",5.8,4,16
"Lansdale, PA",8.1,2,10
"Lansdowne, PA",11.4,5,17
"Lawrenceburg, TN",28.1,5,13
"Lewisburg, TN",20.5,5,15
"Lexington, SC",8.4,4,12
"Lower Burrell, PA",5.4,3,9
"Manchester, TN",16.4,5,13
"Martin, TN",29.2,6,13
"McKeesport, PA",27.4,5,12
"McMinnville, TN",27.7,6,14
"Meadville, PA",19.6,4,12
"Middle Valley, TN",5,2,10
"Millington, TN",18.1,4,14
"Mitchell, SD",16.3,4,12
"Moncks Corner, SC",10.1,3,11
"Montgomeryville, PA",2.8,2,10
"Mountain Top, PA",4.9,5,12
"Munhall, PA",12.3,5,12
"Murrysville, PA",3.4,3,9
"Nanticoke, PA",17.4,4,11
"New Castle, PA",26.2,4,11
"New Kensington, PA",22.9,3,9
"Newberry, SC",22.6,8,15
"Newport East, RI",9.8,3,10
"Newport, RI",15.5,3,10
"North Augusta, SC",7.7,5,13
"North Myrtle Beach, SC",7.8,4,12
"Oak Grove, SC",15.8,4,13
"Orangeburg, SC",32.1,10,17
"Paris, TN",27.2,6,13
"Park Forest Village, PA",16.6,3,11
"Parker, SC",31.7,6,14
Pennsylvania,12.1,3,14
"Phoenixville, PA",12.5,2,9
"Pierre, SD",15.9,7,17
"Port Royal, SC",5.5,5,13
"Portland, TN",14.3,3,11
"Pottstown, PA",15.4,2,10
"Pottsville, PA",20.6,4,12
"Progress, PA",10.4,6,16
"Red Bank, SC",9.2,4,12
"Red Bank, TN",13.7,4,12
"Red Hill, SC",18.3,5,12
Rhode Island,11.4,4,12
"Seven Oaks, SC",9.6,4,13
"Sevierville, TN",19,4,13
"Seymour, TN",5.7,4,12
"Sharon, PA",23.1,5,13
"Shelbyville, TN",19,5,15
"Shiloh, PA",5.7,5,13
"Simpsonville, SC",5.7,5,14
"Socastee, SC",15.9,4,12
"Soddy-Daisy, TN",8.3,2,9
South Carolina,14.6,6,16
South Dakota,12.3,4,13
"Spearfish, SD",15.4,3,11
"Springfield, TN",23.6,3,12
"St. Andrews, SC",22.7,7,18
"St. Marys, PA",8.7,4,12
"Taylors, SC",7.7,4,12
"Tega Cay, SC",0.5,3,12
Tennessee,13.6,5,13
"Tullahoma, TN",17.2,5,13
"Union City, TN",25.2,7,15
US,12.8,5,14
"Valley Falls, RI",6.4,6,15
"Vermillion, SD",25.2,2,11
"Wade Hampton, SC",9,6,14
"Washington, PA",19.6,2,9
"Watertown, SD",13.2,3,13
"Waynesboro, PA",14.5,3,12
"Weigelstown, PA",6.1,2,9
"West Chester, PA",22.1,2,9
"West Columbia, SC",13.3,4,13
"West Mifflin, PA",13.9,5,12
"Westerly, RI",5.5,2,9
"White House, TN",5.7,3,11
"Whitehall, PA",9.8,2,10
"Wilkinsburg, PA",23.4,4,13
"Willow Grove, PA",5.9,2,10
"Wyomissing, PA",5,2,10
"Yankton, SD",10.4,2,11
"Yeadon, PA",8.8,5,17
"Aberdeen, SD",12.9,3,13
"Aiken, SC",14.4,5,13
"Albany, OR",11.1,3,13
"Aloha, OR",9.2,3,13
"Altoona, PA",20.3,4,11
"Alvin, TX",11.7,3,14
"Anderson, SC",21.2,5,13
"Austintown, OH",13.5,6,13
"Balch Springs, TX",11.9,7,21
"Barberton, OH",17.5,3,10
"Bartlesville, OK",15,4,13
"Bartlett, TN",4.9,6,16
"Beavercreek, OH",7.2,3,11
"Bedford, TX",5.8,5,17
"Bethany, OR",5.1,3,12
"Bethel Park, PA",4.1,2,9
"Big Spring, TX",19.2,7,15
"Bixby, OK",6.9,4,13
"Bowling Green, OH",30.9,3,11
"Brentwood, TN",2.6,2,9
"Bristol, TN",19.6,3,10
"Brunswick, OH",6.3,2,9
"Burleson, TX",6.5,3,13
"Canton, OH",30.3,6,14
"Canyon Lake, TX",7.3,2,11
"Cedar Hill, TX",9.4,5,20
"Cedar Park, TX",5.6,2,12
"Channelview, TX",19.5,4,17
"Chester, PA",28.5,6,16
"Cibolo, TX",5.4,3,13
"Cleburne, TX",13.6,3,13
"Cleveland Heights, OH",16.4,7,18
"Cleveland, TN",18,4,13
"Cloverleaf, TX",28.1,9,25
"Colleyville, TX",2.7,2,11
"Collierville, TN",2.8,2,12
"Columbia, TN",12.5,5,15
"Converse, TX",12.1,3,15
"Cookeville, TN",21.7,6,14
"Coppell, TX",2.6,3,16
"Copperas Cove, TX",10.3,4,13
"Corvallis, OR",25.6,3,13
"Cuyahoga Falls, OH",9.5,4,12
"DeSoto, TX",8,6,21
"Deer Park, TX",8.1,4,17
"Del Rio, TX",19.6,13,19
"Delaware, OH",7.1,1,9
"Drexel Hill, PA",8.4,5,17
"Dublin, OH",1.9,2,11
"Duncanville, TX",9.3,6,20
"Eagle Pass, TX",25.8,13,19
"East Providence, RI",10.9,4,12
"Easton, PA",17.6,4,13
"Elyria, OH",20.3,7,14
"Enid, OK",15,5,14
"Euclid, OH",20.6,7,18
"Euless, TX",8.1,4,17
"Fairborn, OH",17.4,3,11
"Fairfield, OH",7.1,4,13
"Farmers Branch, TX",9.6,4,18
"Findlay, OH",13.5,4,12
"Florence, SC",18.1,7,16
"Fresno, TX",5.9,2,14
"Friendswood, TX",3.4,3,14
"Gahanna, OH",5.2,2,12
"Gallatin, TN",14.5,3,11
"Galveston, TX",18.6,5,15
"Garfield Heights, OH",21.3,8,19
"Georgetown, TX",7.7,2,11
"Germantown, TN",2.4,2,12
"Goose Creek, SC",8.5,6,17
"Grants Pass, OR",16.4,4,13
"Grapevine, TX",5.8,2,11
"Green, OH",6.7,3,10
"Greenville, SC",13.9,5,15
"Greenville, TX",16.2,3,13
"Greer, SC",10.2,3,12
"Grove City, OH",4.9,4,12
"Haltom City, TX",15.6,6,19
"Hamilton, OH",16.4,4,13
"Harker Heights, TX",10,5,18
"Harlingen, TX",26.6,8,19
"Harrisburg, PA",28.2,6,16
"Hendersonville, TN",7.1,3,11
"Hilliard, OH",4.6,2,12
"Hilton Head Island, SC",7.6,5,13
"Huber Heights, OH",7.9,5,14
"Huntsville, TX",28.1,7,15
"Hurst, TX",11.9,4,15
"Hutto, TX",8.7,3,11
"Jackson, TN",23.7,7,15
"Johnson City, TN",21.6,4,12
"Keizer, OR",10.4,5,16
"Keller, TX",3.5,2,10
"Kent, OH",23.4,3,11
"Kettering, OH",8.9,2,10
"Kingsport, TN",20.7,4,11
"Kingsville, TX",31.3,12,18
"Kyle, TX",6.3,3,15
"La Porte, TX",10.7,4,15
"La Vergne, TN",11.1,3,14
"Lake Jackson, TX",7.9,4,14
"Lake Oswego, OR",4.2,2,10
"Lakewood, OH",12.5,3,11
"Lancaster, OH",15.1,3,11
"Lancaster, PA",19.1,5,14
"Lancaster, TX",14.7,6,21
"Leander, TX",4.7,2,12
"Lebanon, PA",25.3,3,11
"Lebanon, TN",14.5,3,11
"Levittown, PA",6.3,2,10
"Lima, OH",24.9,5,13
"Little Elm, TX",7.5,2,12
"Lorain, OH",26.3,7,14
"Lufkin, TX",20.9,8,17
"Mansfield, OH",25.4,5,12
"Mansfield, TX",5.3,2,13
"Marion, OH",22,4,13
"Maryville, TN",8.4,3,10
"Mason, OH",3.3,2,10
"Massillon, OH",14.5,3,10
"Mauldin, SC",6.5,5,15
"McMinnville, OR",17.9,3,13
"Medina, OH",8.3,2,9
"Mentor, OH",4.7,3,11
"Middletown, OH",20.4,4,12
"Midlothian, TX",5.4,3,13
"Midwest City, OK",15.2,4,14
"Mission Bend, TX",10.9,3,17
"Missouri City, TX",5.8,4,18
"Monroeville, PA",8.5,4,13
"Moore, OK",10.3,3,13
"Morristown, TN",25.5,6,13
"Mount Juliet, TN",5.7,3,11
"Muskogee, OK",24,6,15
"Myrtle Beach, SC",19.4,4,12
"Nacogdoches, TX",30.4,8,17
"Newark, OH",16.8,3,10
"Norristown, PA",17.1,3,13
"North Olmsted, OH",10.6,2,9
"North Richland Hills, TX",7.7,3,13
"North Ridgeville, OH",5.8,2,9
"North Royalton, OH",4.4,2,9
"Oak Ridge, TN",14.6,5,13
Ohio,13.4,4,13
Oklahoma,15.6,5,21
Oregon,12.2,2,11
"Oregon City, OR",6,2,11
"Owasso, OK",6.2,6,16
"Pawtucket, RI",14.9,6,15
Pennsylvania,12.1,3,14
"Pflugerville, TX",5.3,3,16
"Plum, PA",3.6,4,13
"Port Arthur, TX",25.8,6,16
"Redmond, OR",7.8,2,11
"Reynoldsburg, OH",9.9,5,17
Rhode Island,11.4,4,12
"Riverside, OH",15.8,9,18
"Rock Hill, SC",13.5,4,14
"Rockwall, TX",3.5,3,13
"Rosenberg, TX",16.7,3,15
"Rowlett, TX",7.1,3,15
"Sachse, TX",2.7,3,14
"San Juan, TX",26,9,22
"San Marcos, TX",30.6,3,15
"Schertz, TX",4.8,3,13
"Seguin, TX",17.1,3,13
"Shaker Heights, OH",8,2,11
"Shawnee, OK",18.5,4,12
"Sherman, TX",13.6,4,13
"Smyrna, TN",11.9,3,14
"Socorro, TX",23.3,7,21
South Carolina,14.6,6,16
South Dakota,12.3,4,13
"Southlake, TX",2.3,2,11
"Spartanburg, SC",24,7,17
"Spring, TX",9.5,3,16
"Spring Hill, TN",2.5,3,11
"Springfield, OH",22,5,12
